Product_Name,Category,Brand,Price,Rating,Tags,Description,Image
Asus ZenBook,Laptop,Asus,82000,4.7,Premium lightweight laptop,,asuszenbook.jpg
MacBook Air M2,Laptop,Apple,99999,4.9,Apple laptop with M2 chip,,macbookairM2.jpg
MacBook Air M3,Laptop,Apple,119999,4.9,Latest Apple laptop,,macbookairM3.jpg

TCL Smart TV,TV,TCL,42000,4.3,4K smart television,,TCL Smart TV.jpg
TCL QLED TV,TV,TCL,68000,4.6,QLED smart television,,TCL QLED TV.jpg
Panasonic Smart TV,TV,Panasonic,48000,4.4,4K smart television,,Panasonic Smart TV.jpg
Panasonic OLED TV,TV,Panasonic,105000,4.8,Premium OLED television,,Panasonic OLED TV.jpg
Mi Smart TV X,TV,Xiaomi,39000,4.3,Affordable smart television,,Mi Smart TV X.jpg
OnePlus Smart TV,TV,OnePlus,45000,4.4,Smart Android television,,OnePlus Smart TV.jpg
Vu Masterpiece TV,TV,Vu,72000,4.6,Premium QLED television,,Vu Masterpiece TV.jpg
Hisense Smart TV,TV,Hisense,43000,4.3,4K smart television,,Hisense Smart TV.jpg

Godrej Refrigerator,Fridge,Godrej,24000,4.4,Double door refrigerator,,Godrej Refrigerator.jpg
Godrej Smart Refrigerator,Fridge,Godrej,42000,4.6,Smart refrigerator,,Godrej Smart Refrigerator.jpg
Haier Refrigerator,Fridge,Haier,23000,4.3,Energy efficient refrigerator,,Haier Refrigerator.jpg
Haier Smart Refrigerator,Fridge,Haier,41000,4.5,Convertible refrigerator,,Haier Smart Refrigerator.jpg
Panasonic Refrigerator,Fridge,Panasonic,26000,4.4,Frost free refrigerator,,Panasonic Refrigerator.jpg
Bosch Refrigerator,Fridge,Bosch,32000,4.6,Premium refrigerator,,Bosch Refrigerator.jpg
Samsung Family Hub Refrigerator,Fridge,Samsung,65000,4.8,Smart touchscreen refrigerator,,Samsung Family Hub Refrigerator.jpg
LG InstaView Refrigerator,Fridge,LG,70000,4.8,Premium smart refrigerator,,LG InstaView Refrigerator.jpg

Checked Shirt,Men Clothing,Allen Solly,1499,4.4,Casual checked shirt,,Checked Shirt.jpg
Slim Fit Shirt,Men Clothing,Louis Philippe,1899,4.5,Slim fit formal shirt,,Slim Fit Shirt.jpg
Polo T Shirt,Men Clothing,US Polo,1299,4.4,Classic polo t shirt,,Polo T Shirt.jpg
Black Jeans,Men Clothing,Levis,2799,4.6,Comfort fit black jeans,,Black Jeans.jpg
Cargo Pants,Men Clothing,Roadster,1999,4.3,Casual cargo pants,,Cargo Pants.jpg
Denim Jacket,Men Clothing,Levis,3499,4.6,Stylish denim jacket,,Denim Jacket.jpg

Cotton Kurti,Women Clothing,Biba,1199,4.3,Comfortable cotton kurti,,Cotton Kurti.jpg
Party Wear Kurti,Women Clothing,W,1799,4.5,Designer party wear kurti,,Party Wear Kurti.jpg
Ethnic Kurti,Women Clothing,Libas,1399,4.4,Traditional ethnic kurti,,Ethnic Kurti.jpg
Straight Kurti,Women Clothing,Aurelia,1299,4.3,Elegant straight kurti,,Straight Kurti.jpg
Printed Dress,Women Clothing,Global Desi,1999,4.4,Casual printed dress,,Printed Dress.jpg
Women Jeans,Women Clothing,Levis,2499,4.5,Stylish women jeans,,Women Jeans.jpg

Kids Hoodie,Kids Clothing,Max,899,4.3,Comfortable kids hoodie,,Kids Hoodie.jpg
Kids Jeans,Kids Clothing,Hopscotch,799,4.2,Casual kids jeans,,Kids Jeans.jpg
Kids Jacket,Kids Clothing,Max,1199,4.4,Warm kids jacket,,Kids Jacket.jpg
Kids Shorts,Kids Clothing,FirstCry,499,4.2,Cotton kids shorts,,Kids Shorts.jpg
Timex Watch,Watch,Timex,2499,4.4,Classic analog watch,,Timex Watch.jpg
Fossil Watch,Watch,Fossil,6999,4.7,Premium fashion watch,,Fossil Watch.jpg
Sonata Watch,Watch,Sonata,1499,4.3,Affordable watch,,Sonata Watch.jpg
Titan Edge Watch,Watch,Titan,5999,4.8,Premium slim watch,,Titan Edge Watch.jpg
G Shock Watch,Watch,Casio,7999,4.8,Rugged sports watch,,G Shock Watch.jpg

Noise Headphones,Headphones,Noise,2499,4.4,Wireless over ear headphones,,Noise Headphones.jpg
Realme Headphones,Headphones,Realme,1999,4.3,Bluetooth headphones,,Realme Headphones.jpg
Skullcandy Headphones,Headphones,Skullcandy,3499,4.5,Deep bass headphones,,Skullcandy Headphones.jpg
Sennheiser Headphone,Headphones,Sennheiser,5999,4.8,Premium audio headphones,,Sennheiser Headphone.jpg
Boat Rockerz 550,Headphones,Boat,2299,4.4,Wireless headphones,,Boat Rockerz 550.jpg
Nike Air Max,Shoes,Nike,5999,4.7,Running sports shoes,Comfortable Nike running shoes,nike_airmax.jpg

Adidas Ultraboost,Shoes,Adidas,8999,4.8,Premium running shoes,Boost cushioning technology,adidas_ultraboost.jpg
Puma RS-X,Shoes,Puma,5499,4.4,Sports shoes,Stylish sports shoes,puma_rsx.jpg
Reebok Floatride,Shoes,Reebok,4599,4.5,Training shoes,Comfortable training shoes,reebok_floatride.jpg
Skechers Go Run,Shoes,Skechers,4999,4.5,Running shoes,Lightweight running shoes,skechers_gorun.jpg
Nike Revolution 7,Shoes,Nike,3999,4.4,Budget running shoes,Affordable Nike running shoes,nike_revolution7.jpg

Skybags College Backpack,Bags,Skybags,1499,4.5,College backpack,Spacious backpack for students,skybags_backpack.jpg
American Tourister Bag,Bags,American Tourister,1999,4.6,Laptop backpack,Durable college laptop bag,american_tourister.jpg
Wildcraft Backpack,Bags,Wildcraft,1799,4.4,Travel backpack,Comfortable backpack for daily use,wildcraft_bag.jpg
Safari College Bag,Bags,Safari,1299,4.3,Student backpack,Affordable backpack with multiple compartments,safari_bag.jpg
F Gear Laptop Bag,Bags,F Gear,1599,4.4,Laptop bag,Stylish laptop backpack for students,fgear_bag.jpg
Puma Backpack,Bags,Puma,1899,4.5,Sports backpack,Trendy college backpack,puma_bag.jpg
Adidas Backpack,Bags,Adidas,2199,4.6,College backpack,Premium backpack for students,Adidas Backpack.jpg
Nike Backpack,Bags,Nike,2499,4.7,Premium backpack,Stylish and spacious college bag,nike_bag.jpg
